Table 2-6:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,HCFC-22 Production,46.1,41.4 ,46.0 ,41.9 ,39.9 ,41.7 ,39.4 ,38.1 ,49.9 ,38.5 ,36.2 ,25.0 ,26.7 ,15.6 ,21.8 ,20.0 ,17.5 ,21.5 ,17.2 ,6.8 ,8.0 ,8.8 ,5.5 ,4.1,5,4.3,2.8,5.2
,Semiconductor Manufacturing,0.2,0.2 ,0.2 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.5 ,0.5 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3,0.3,0.3,0.3,0.4
,Magnesium Production and Processing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1
,PFCs,24.3,20.9 ,19.5 ,19.5 ,18.0 ,18.6 ,19.9 ,18.3 ,17.0 ,16.9 ,15.9 ,8.2 ,10.2 ,8.2 ,6.8 ,6.7 ,6.4 ,7.8 ,6.1 ,3.9 ,4.6 ,7.1 ,6.2 ,5.9,5.6,5.1,4.4,4.1
,Semiconductor Manufacturing,2.8,2.8 ,2.8 ,3.5 ,3.9 ,4.9 ,5.4 ,5.7 ,7.0 ,7.1 ,6.0 ,4.2 ,4.1 ,3.8 ,3.5 ,3.2 ,3.4 ,3.3 ,3.0 ,2.1 ,2.7 ,3.6 ,3.2 ,2.9,3.1,3.1,3,3
,Aluminum Production,21.5,18.1 ,16.7 ,16.0 ,14.1 ,13.8 ,14.5 ,12.6 ,10.0 ,9.8 ,9.9 ,4.0 ,6.1 ,4.4 ,3.3 ,3.4 ,2.9 ,4.5 ,3.2 ,1.9 ,1.9 ,3.5 ,2.9 ,3,2.5,2,1.4,1.1
,Substitution of Ozone Depleting Substances,0,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,SF6,28.8,27.6 ,27.8 ,27.3 ,26.0 ,24.8 ,24.3 ,22.6 ,19.9 ,19.6 ,16.5 ,15.5 ,14.4 ,13.9 ,12.5 ,11.8 ,10.5 ,9.2 ,8.3 ,7.2 ,7.4 ,8.2 ,6.8 ,6.3,6.3,5.8,6.3,6.1
,Electrical Transmission and Distribution,23.1,22.1 ,22.1 ,21.4 ,20.2 ,18.6 ,17.0 ,15.6 ,13.3 ,13.6 ,12.7 ,12.1 ,11.0 ,9.9 ,9.1 ,8.3 ,7.1 ,6.2 ,6.1 ,5.8 ,5.8 ,5.9 ,4.7 ,4.4,4.6,4.1,4.4,4.3
,Magnesium Production and Processing,5.2,4.9 ,5.2 ,5.3 ,5.2 ,5.4 ,6.3 ,6.0 ,5.4 ,4.8 ,2.9 ,2.7 ,2.8 ,3.3 ,2.7 ,2.7 ,2.8 ,2.5 ,1.8 ,1.0 ,1.2 ,1.7 ,1.4 ,1.3,0.9,1,1.1,1.1
,Semiconductor Manufacturing,0.5,0.5 ,0.5 ,0.6 ,0.7 ,0.9 ,1.0 ,1.0 ,1.2 ,1.3 ,1.0 ,0.7 ,0.6 ,0.7 ,0.7 ,0.7 ,0.7 ,0.5 ,0.4 ,0.3 ,0.4 ,0.7 ,0.7 ,0.7,0.7,0.7,0.9,0.7
,NF3,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.6 ,0.5 ,0.5 ,0.5 ,0.7 ,0.6 ,0.6 ,0.5 ,0.5 ,0.6 ,0.6 ,0.5,0.5,0.6,0.6,0.6
,Semiconductor Manufacturing,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.6 ,0.5 ,0.5 ,0.5 ,0.7 ,0.6 ,0.6 ,0.5 ,0.5 ,0.6 ,0.6 ,0.5,0.5,0.6,0.6,0.6
,Total,342.1,322.7 ,328.8 ,328.6 ,339.9 ,370.8 ,382.8 ,388.1 ,395.7 ,390.4 ,389.1 ,350.7 ,359.8 ,344.4 ,357.5 ,358.0 ,366.2 ,383.5 ,359.6 ,310.3 ,350.6 ,366.3 ,353.6 ,353.1,365.2,360.8,354.6,358.9
,+ Does not exceed 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
