Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Silicon Carbide Production and Consumption,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,3,4,4
,N2Oc,"1,243","1,238","1,248","1,293","1,263","1,304","1,327","1,297","1,351","1,265","1,265","1,269","1,263","1,275","1,343","1,261","1,290","1,319","1,257","1,253","1,285","1,259","1,171","1,226","1,217","1,255","1,223","1,210"
,Agricultural Soil Management,845,835,839,869,826,847,862,849,914,837,832,859,851,866,945,854,885,912,893,909,924,887,832,890,880,932,898,894
,Stationary Combustion,84,84,85,87,89,90,92,94,95,95,100,99,102,107,111,115,114,116,114,106,115,110,102,110,111,103,101,96
,Manure Management,47,48,48,47,50,51,51,51,52,54,55,55,56,56,54,55,58,58,57,57,57,58,58,58,58,59,61,63
,Mobile Combustion,141,147,157,164,170,176,180,183,184,176,173,163,156,148,140,131,123,110,102,96,93,88,80,74,68,63,60,57
,Nitric Acid Production,41,41,42,42,45,45,47,48,48,46,45,36,39,37,37,38,37,44,38,32,39,37,35,36,37,39,34,31
,Adipic Acid Production,51,50,44,47,45,57,56,32,17,16,18,15,17,18,12,24,29,34,8,9,14,34,19,13,18,14,23,25
,Wastewater Treatment,11,12,12,12,12,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,16,16,16,16,16,17
,N2O from Product Uses,14,14,13,15,15,15,15,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,Composting,1,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",6,5,6,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,5
,Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Semiconductor Manufacture,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,1,1,+ ,+ ,1,1,1,1,1,1,1
,Field Burning of Agricultural Residues,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
