Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,Wastewater Treatment,-0.4,-0.4,-0.4,-0.4,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.7,-0.6,-0.6,-0.4
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,N2O,15.6,15.3,14.8,16.1,16.5,16.4,16.6,16.8,18,17.4,18.5,17.6,17.6,17.3,17.7,18,17.8,18.1,17,14.9,16.2,15.3,13.1,2.1,1.6,-5.5,-5.1,13.9
,Stationary Combustion,14,14,14.1,14.7,15,15.1,15.5,16,16.5,16.4,17.1,16.7,16.5,16.6,16.6,16.9,16.6,16.8,16.5,14.6,15.5,15.3,13.5,14,13.9,12.4,11.5,15.3
,Mobile Combustion,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,+,+,+,+,+,0.1,0.2,0.2,0.1,+,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,+
,Adipic Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Nitric Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Manure Management,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,-0.1
,Agricultural Soil Management,1.2,1,0.5,1.2,1.3,1.1,0.9,0.8,1.5,1.1,1.4,1,1.2,0.8,1.1,1.1,1.2,1.3,0.6,0.6,1,0.4,0.1,-11.4,-11.7,-17.2,-16,-1.3
,Field Burning of Agricultural Residues,+,+,-0.1,+,+,+,+,+,+,+,-0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Wastewater Treatment,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.1,-0.1,+
,N2O from Product Uses,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
