Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013a,2014a,2015a,2016a,2017a
Natural Gas j,36,32.9 ,32.2 ,34.2 ,37.6 ,38.4 ,39.1 ,41.4 ,35.3 ,35.8 ,35.7 ,34.9 ,37.1 ,33.3 ,31.9 ,33.1,33.1 ,35.2 ,36.7 ,37.9 ,38.2 ,38.9 ,41.4 ,47,40.2,39.4,40.1,42.3
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Medium- and Heavy-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.3 ,0.3 ,0.4 ,0.6 ,0.6,0.7 ,0.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8,0.8,0.9,0.8,0.8
Pipelineh,36,32.9 ,32.2 ,34.2 ,37.6 ,38.4 ,39.1 ,41.4 ,35.2 ,35.7 ,35.5 ,34.6 ,36.7 ,32.8 ,31.3 ,32.4,32.4 ,34.4 ,35.9 ,37.1 ,37.3 ,38.1 ,40.6 ,46.2,39.4,38.5,39.2,41.4
LPG j,1.4,1.3 ,1.2 ,1.2 ,2.1 ,1.1 ,1.0 ,0.9 ,1.1 ,0.9 ,0.7 ,0.8 ,0.9 ,1.1 ,1.2 ,1.7,1.7 ,1.4 ,2.5 ,1.7 ,0.6 ,0.6 ,0.6 ,0.6,0.6,0.6,0.6,0.6
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,+ ,+ 
Light-Duty Trucks,0.2,0.2 ,0.2 ,0.2 ,0.3 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3,0.4 ,0.3 ,0.4 ,0.4 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
Medium- and Heavy-Duty Trucksc,1.1,1.0 ,1.0 ,1.0 ,1.7 ,0.9 ,0.8 ,0.7 ,0.9 ,0.7 ,0.6 ,0.7 ,0.7 ,0.9 ,0.8 ,1.3,1.0 ,0.8 ,1.5 ,1.0 ,0.3 ,0.4 ,0.5 ,0.4,0.4,0.4,0.4,0.4
